1 0:2.19337410663464 1:-0.1825332578994989
1 0:1.460005792702475 1:-0.2196180964465451
1 0:1.144870473486302 1:-0.07489333831188638
1 0:0.06804083946778883 1:0.3085365648336184
1 0:2.166815376523014 1:1.41648653515976
1 0:2.037546765365207 1:1.980731112921998
1 0:-0.8727991189594788 1:2.294173262718655
1 0:1.34477622602312 1:1.202739571588194
1 0:2.574268467314115 1:-0.5405121481453115
1 0:1.057816525290437 1:-0.2722790600797411
1 0:1.198012172924015 1:1.166359465920421
1 0:1.836421725598997 1:0.3478140704973324
1 0:-0.04392818412871313 1:1.073510285073732
1 0:0.9479849675471137 1:0.2641694604592988
1 0:1.555595771199842 1:0.1958649568325945
1 0:1.182716688996018 1:0.1396581199902638
1 0:0.04767892242428784 1:-1.587352925708049
1 0:1.449991049585712 1:0.9838266507210943
1 0:1.224574678401226 1:-0.39701482236505
1 0:1.925782561539665 1:1.050040806533453
1 0:1.413753281482093 1:2.38408584244992
1 0:-0.20036187297396 1:0.4847283948288873
1 0:1.873112347351204 1:2.259204586359328
1 0:1.284707304294751 1:-0.4109418685789208
1 0:0.5200892221480073 1:-0.1411578575603698
1 0:-0.2245961265347876 1:1.115801693880509
1 0:-0.3617983961580071 1:-0.7382671024346772
1 0:1.256505501896368 1:2.012037615186173
1 0:1.237492336395465 1:1.834936575218973
1 0:2.06414128765949 1:1.408624795844921
1 0:1.218199650798646 1:0.831749292079018
1 0:1.258113041387207 1:0.2590467943804282
1 0:1.065973896533035 1:0.5715621193616151
1 0:0.7205432151788497 1:2.267726217431779
1 0:2.719642646216245 1:0.6280332354486198
1 0:1.697420806943792 1:0.8752348588129047
1 0:0.784063637031886 1:1.962481908810466
1 0:1.982104832096475 1:0.1687838196019441
1 0:2.823233345113613 1:1.358970751208583
1 0:-0.2244850030853174 1:-0.4823879555139414
1 0:-0.02801050790445792 1:1.691770416941348
1 0:0.01079219762835848 1:2.148174969414852
1 0:-0.5495659526038166 1:0.5583926765842206
1 0:0.9908341666262448 1:0.8162031414737553
1 0:1.18527712663995 1:1.128578845882605
1 0:3.201770045602038 1:0.5045060183396668
1 0:0.6818228968647493 1:-0.08776999757654358
1 0:1.135469813782075 1:0.8735299968058521
1 0:1.345724102220912 1:1.796737904318713
1 0:1.445254848652731 1:0.413170146293383
1 0:1.541219383934231 1:0.7878532978834467
1 0:1.542169486962893 1:0.8204059052017506
1 0:0.3559439694432486 1:0.02081304048120469
1 0:0.5097745597130028 1:2.182681984301842
1 0:1.577659418391406 1:1.880138699326838
1 0:1.131378450247769 1:1.822018893178829
1 0:2.562643169789443 1:0.6913860277147964
1 0:1.451848110931338 1:0.9419672034265759
1 0:2.349156076023103 1:1.009750507372075
1 0:0.1665028196789342 1:2.469707730437717
1 0:1.301610065635746 1:-0.03172004671069617
1 0:0.516663262002986 1:2.159855654111694
1 0:0.056842837441062 1:1.589431252702193
1 0:1.336884289762025 1:1.024031553916648
1 0:2.044412285718125 1:0.0289005214677196
1 0:1.602220414511922 1:-0.3372781751736216
1 0:2.235935706480983 1:2.942648682868418
1 0:2.442249013396902 1:0.4587388798750031
1 0:1.723588960582195 1:0.9106741108707067
1 0:0.7668912476397126 1:0.9124892786416313
1 0:0.4100353862650824 1:0.4172586844060643
1 0:1.272502316114333 1:1.111065048036775
1 0:2.516009055040559 1:-0.4786778140442738
1 0:-0.4847807331145408 1:1.5970359321012
1 0:1.154694042820313 1:-0.03932185882036232
1 0:2.40221527375486 1:3.133559467168867
1 0:-0.06720136009768174 1:1.176049274887746
1 0:0.5730001780590428 1:1.115495256661162
1 0:0.8131585659607993 1:0.9365964784608347
1 0:1.351862011906812 1:1.008024698593112
1 0:1.657685556829131 1:2.162052545675576
1 0:1.386717595985143 1:0.5451326375534082
1 0:0.9959832823760914 1:2.156345321100474
1 0:0.3903042737211769 1:-0.3374651046772972
1 0:-0.2719696804689353 1:0.01267336387128637
1 0:1.013284530054166 1:1.940839321602077
1 0:0.2091588401192473 1:-0.3411732190254579
1 0:2.483012203682446 1:1.815265798944145
1 0:2.429743679768451 1:2.591089069963227
1 0:0.171063070698574 1:1.993198540373293
1 0:1.694260237731077 1:1.375148100214162
1 0:-0.5026662372816133 1:1.146454625742374
1 0:0.547640837527517 1:0.175268563747886
1 0:0.6095780598634892 1:0.6668078557665418
1 0:2.578191406031728 1:-0.4411964868724574
1 0:1.833935180310883 1:-0.264229066049231
1 0:1.143924496581709 1:1.064469682303815
1 0:0.3198350235202509 1:1.292225529972152
1 0:0.6966124545337571 1:1.971348137082265
1 0:3.180234927526473 1:1.338893433290203
-1 0:-0.6766285271488339 1:9.223670116864646e-05
-1 0:-1.600649738010987 1:-0.3221699687443477
-1 0:-2.189060862754779 1:-2.496598560507393
-1 0:-0.7310647294136043 1:-1.784107263236443
-1 0:-0.9662248717761505 1:-0.3723303830060715
-1 0:-0.7833371882247744 1:0.6422903013363701
-1 0:-1.220929638231294 1:-1.175197444395773
-1 0:-1.697275355267745 1:-0.2014508677473674
-1 0:-2.08836583089568 1:0.01224801894911121
-1 0:-1.658071013349112 1:0.1926283336415504
-1 0:-1.834233076474003 1:-1.379307220029839
-1 0:-1.284973321862592 1:-0.6132029314936918
-1 0:-1.875870961459776 1:-1.378143273678444
-1 0:-1.018659925647982 1:1.136139201582221
-1 0:0.01770713701661331 1:-0.8381153670844772
-1 0:-1.319322915097484 1:-2.78345286726949
-1 0:-1.64559736339329 1:-0.7301762669039787
-1 0:-0.8089570356892136 1:-0.6054375688464158
-1 0:-1.672083130439891 1:0.7049247483602472
-1 0:-0.3568257346163508 1:-0.9946809759725687
-1 0:0.8956784056810942 1:-2.673938716772601
-1 0:0.001451623983712347 1:-0.8413048230224519
-1 0:-2.833468977720928 1:-0.673673663541257
-1 0:-1.77439647791485 1:0.03983770581386414
-1 0:-0.2343721724566351 1:-1.476048028119113
-1 0:-0.8721370487963542 1:-2.379948086946684
-1 0:0.6495366739524309 1:-0.7025540833170676
-1 0:-0.2008088802180701 1:-1.843553196890283
-1 0:0.8410449563535687 1:-3.150606648707083
-1 0:-2.638313982697816 1:-1.644177826133538
-1 0:-1.096432460174528 1:-0.1769695949820649
-1 0:-1.720590644450688 1:-0.4711828155628882
-1 0:-2.557566431565281 1:-1.962913981509879
-1 0:-1.672043495594817 1:-2.146696516507543
-1 0:-0.02060505177334981 1:-2.095726052069521
-1 0:-0.4864316063909483 1:-1.239528958621509
-1 0:-2.215056750696727 1:-0.2931493152224995
-1 0:-1.431771539695982 1:1.411758511193443
-1 0:-0.6244773584677618 1:-0.784826253487486
-1 0:-0.3425714575328886 1:-1.80775174445623
-1 0:-1.017565165554341 1:0.5353846355417713
-1 0:-0.4792488141030042 1:0.6024255712667947
-1 0:-1.402859861329165 1:-1.129265914009288
-1 0:-0.5395703298068408 1:-2.0382824328829
-1 0:-1.084760333120038 1:-0.9858156794026731
-1 0:-2.745536504753645 1:-0.4199679956606585
-1 0:-1.676884336888576 1:0.6460830714373533
-1 0:-2.552633179231306 1:-0.9164424394113492
-1 0:-3.165466943246913 1:-0.3886362192130911
-1 0:-0.8346286930353455 1:-1.935278422924846
-1 0:-2.167643705629805 1:-0.2277042461662419
-1 0:-1.621849428394486 1:-1.632317995705111
-1 0:-0.2283810545556741 1:-0.9095461247223771
-1 0:-1.480889899616437 1:-1.683596729233662
-1 0:-2.347866440938508 1:-2.457404507259796
-1 0:-1.257039986168332 1:-0.06279443972412224
-1 0:-1.133403471880428 1:-1.085136666463487
-1 0:-0.9876513099754668 1:0.1080543530711979
-1 0:-0.00337772478555487 1:-1.629923501777961
-1 0:-0.8347800953749092 1:-3.214575242404822
-1 0:-0.5027045258600171 1:-1.206161092479324
-1 0:-0.9089867736585141 1:-0.2569403734490887
-1 0:-1.618138096258585 1:0.3940397510260776
-1 0:0.766470963466483 1:-1.412499884885014
-1 0:-1.688225763191634 1:-2.237466858797319
